timestamp,gun_id,rank,point
1765179974.7247024,1055,11,17619808
1765179974.7247024,1051,12,17069189
1765179974.7247024,1042,13,16584593
1765179974.7247024,1028,14,16539082
1765179974.7247024,1057,15,16521775
1765179974.7247024,1027,16,16363448
1765179974.7247024,1059,17,16287810
1765179974.7247024,1054,18,16186532
1765179974.7247024,1021,19,16168584
1765179974.7247024,1048,20,15882698
1765179974.7247024,1032,21,15834623
1765179974.7247024,1029,22,15805778
1765179974.7247024,1035,23,15678860
1765179974.7247024,1008,24,15565403
1765179974.7247024,1022,25,15469894
1765179974.7247024,1001,26,15426947
1765179974.7247024,1033,27,15425665
1765179974.7247024,1009,28,15351950
1765179974.7247024,1037,29,15351309
1765179974.7247024,1015,30,15316695
1765179974.7247024,1023,31,15202597
1765179974.7247024,1045,32,15162214
1765179974.7247024,1024,33,15074397
1765179974.7247024,1053,34,14968632
1765179974.7247024,1050,35,14968632
1765179974.7247024,1026,36,14948120
1765179974.7247024,1043,37,14930813
1765179974.7247024,1040,38,14887866
1765179974.7247024,1038,39,14864790
1765179974.7247024,1041,40,14836586
1765179974.7247024,1036,41,14832099
1765184185.7187886,1052,1,70934744
1765184185.7187886,1017,2,45350508
1765184185.7187886,1056,3,28157848
1765184185.7187886,1034,4,22140140
1765184185.7187886,1025,5,20685070
1765184185.7187886,1047,6,19747928
1765184185.7187886,1039,7,18958857
1765184185.7187886,1044,8,18913346
1765184185.7187886,1013,9,18365932
1765184185.7187886,1064,10,18058252
1765184185.7187886,1055,11,17688395
1765184185.7187886,1051,12,17126238
1765184185.7187886,1042,13,16641001
1765184185.7187886,1028,14,16601259
1765184185.7187886,1057,15,16583952
1765184185.7187886,1027,16,16420497
1765184185.7187886,1059,17,16346782
1765184185.7187886,1054,18,16244222
1765184185.7187886,1021,19,16232043
1765184185.7187886,1048,20,15943593
1765184185.7187886,1032,21,15893595
1765184185.7187886,1029,22,15867955
1765184185.7187886,1035,23,15738473
1765184185.7187886,1008,24,15625657
1765184185.7187886,1022,25,15525020
1765184185.7187886,1001,26,15484637
1765184185.7187886,1033,27,15483355
1765184185.7187886,1037,28,15408999
1765184185.7187886,1009,29,15408358
1765184185.7187886,1015,30,15373744
1765184185.7187886,1023,31,15260928
1765184185.7187886,1045,32,15220545
1765184185.7187886,1024,33,15130805
1765184185.7187886,1050,34,15025681
1765184185.7187886,1053,35,15024399
1765184185.7187886,1026,36,15005810
1765184185.7187886,1043,37,14987221
1765184185.7187886,1040,38,14943633
1765184185.7187886,1038,39,14922480
1765184185.7187886,1041,40,14892353
1765184185.7187886,1036,41,14887225
1765187520.5525036,1052,1,71170360
1765187520.5525036,1017,2,45657764
1765187520.5525036,1056,3,28242460
1765187520.5525036,1034,4,22210009
1765187520.5525036,1025,5,20756862
1765187520.5525036,1047,6,19816515
1765187520.5525036,1039,7,19016547
1765187520.5525036,1044,8,18975523
1765187520.5525036,1013,9,18427468
1765187520.5525036,1064,10,18117224
1765187520.5525036,1055,11,17747367
1765187520.5525036,1051,12,17183287
1765187520.5525036,1042,13,16699973
1765187520.5525036,1028,14,16656385
1765187520.5525036,1057,15,16637796
1765187520.5525036,1027,16,16482674
1765187520.5525036,1059,17,16403190
1765187520.5525036,1054,18,16298707
1765187520.5525036,1021,19,16294861
1765187520.5525036,1048,20,15997437
1765187520.5525036,1032,21,15950644
1765187520.5525036,1029,22,15923722
1765187520.5525036,1035,23,15792317
1765187520.5525036,1008,24,15683988
1765187520.5525036,1022,25,15575659
1765187520.5525036,1001,26,15539122
1765187520.5525036,1033,27,15537199
1765187520.5525036,1037,28,15463484
1765187520.5525036,1009,29,15463484
1765187520.5525036,1015,30,15428870
1765187520.5525036,1023,31,15314772
1765187520.5525036,1045,32,15273748
1765187520.5525036,1024,33,15185290
1765187520.5525036,1050,34,15078243
1765187520.5525036,1053,35,15075679
1765187520.5525036,1026,36,15059013
1765187520.5525036,1043,37,15041065
1765187520.5525036,1040,38,14995554
1765187520.5525036,1038,39,14974401
1765187520.5525036,1041,40,14944274
1765187520.5525036,1036,41,14939787
1765191096.625609,1052,1,71388464
1765191096.625609,1017,2,45929200
1765191096.625609,1056,3,28318098
1765191096.625609,1034,4,22274750
1765191096.625609,1025,5,20813911
1765191096.625609,1047,6,19876769
1765191096.625609,1039,7,19080006
1765191096.625609,1044,8,19043469
1765191096.625609,1013,9,18488363
1765191096.625609,1064,10,18183888
1765191096.625609,1055,11,17807621
1765191096.625609,1051,12,17244182
1765191096.625609,1042,13,16758304
1765191096.625609,1028,14,16714716
1765191096.625609,1057,15,16692281
1765191096.625609,1027,16,16541646
1765191096.625609,1059,17,16462803
1765191096.625609,1054,18,16356397
1765191096.625609,1021,19,16356397
1765191096.625609,1048,20,16052563
1765191096.625609,1032,21,16007693
1765191096.625609,1029,22,15983335
1765191096.625609,1035,23,15850007
1765191096.625609,1008,24,15744242
1765191096.625609,1022,25,15633990
1765191096.625609,1001,26,15597453
1765191096.625609,1033,27,15592966
1765191096.625609,1037,28,15517969
1765191096.625609,1009,29,15517969
1765191096.625609,1015,30,15485278
1765191096.625609,1023,31,15371180
1765191096.625609,1045,32,15330156
1765191096.625609,1024,33,15240416
1765191096.625609,1050,34,15133369
1765191096.625609,1053,35,15131446
1765191096.625609,1026,36,15114139
1765191096.625609,1043,37,15095550
1765191096.625609,1040,38,15051321
1765191096.625609,1038,39,15028886
1765191096.625609,1041,40,14998759
1765191096.625609,1036,41,14996195
1765194292.4956203,1052,1,71628856
1765194292.4956203,1017,2,46210984
1765194292.4956203,1056,3,28407197
1765194292.4956203,1034,4,22367695
1765194292.4956203,1025,5,20890831
1765194292.4956203,1047,6,19956894
1765194292.4956203,1039,7,19158849
1765194292.4956203,1044,8,19127440
1765194292.4956203,1013,9,18571693
1765194292.4956203,1064,10,18258885
1765194292.4956203,1055,11,17881336
1765194292.4956203,1051,12,17320461
1765194292.4956203,1042,13,16834583
1765194292.4956203,1028,14,16789713
1765194292.4956203,1057,15,16766637
1765194292.4956203,1027,16,16614079
1765194292.4956203,1059,17,16533313
1765194292.4956203,1021,18,16428189
1765194292.4956203,1054,19,16426907
1765194292.4956203,1048,20,16124355
1765194292.4956203,1032,21,16083331
1765194292.4956203,1029,22,16058973
1765194292.4956203,1035,23,15920517
1765194292.4956203,1008,24,15812829
1765194292.4956203,1022,25,15705141
1765194292.4956203,1001,26,15666681
1765194292.4956203,1033,27,15666040
1765194292.4956203,1037,28,15592325
1765194292.4956203,1009,29,15589761
1765194292.4956203,1015,30,15555147
1765194292.4956203,1023,31,15444254
1765194292.4956203,1045,32,15401307
1765194292.4956203,1024,33,15312849
1765194292.4956203,1050,34,15204520
1765194292.4956203,1053,35,15202597
1765194292.4956203,1026,36,15185290
1765194292.4956203,1043,37,15167983
1765194292.4956203,1040,38,15121831
1765194292.4956203,1038,39,15098755
1765194292.4956203,1041,40,15069269
1765194292.4956203,1036,41,15068628
1765199968.21931,1052,1,72197200
1765199968.21931,1017,2,46854948
1765199968.21931,1056,3,28634111
1765199968.21931,1034,4,22563841
1765199968.21931,1025,5,21083131
1765199968.21931,1047,6,20142784
1765199968.21931,1039,7,19356918
1765199968.21931,1044,8,19310125
1765199968.21931,1013,9,18758865
1765199968.21931,1064,10,18447980
1765199968.21931,1055,11,18060816
1765199968.21931,1051,12,17497377
1765199968.21931,1042,13,17012140
1765199968.21931,1028,14,16965347
1765199968.21931,1057,15,16933297
